eventID,year,month,day,hour,minute,second,latitude,longitude,depth,,,sigmaMagnitude,magnitude,location,Ref.,RMS(sec),Mag,Error,Depth,Error,Duplicate,Type
192,2000,8,14,14,25,16.8,5.78,-0.15,7,,,0.3,2.9,GSD,,,,,,,,
193,2000,9,2,19,42,28.7,5.59,-0.86,17,,,0.3,2.6,GSD,,,,,,,,
194,2000,11,8,2,9,40.9,5.66,2.6,11,,,0.3,3,GSD,,,,,,,,
195,2000,11,25,10,26,12.4,5.54,0.13,10,,,0.3,3.1,GSD,,,,,,,,
196,2000,11,26,13,42,36.3,5.54,0.13,18,,,0.3,3.5,GSD,,,,,,,,
197,2000,12,8,6,13,19.5,5.83,-0.24,12,,,0.3,3.1,GSD,,,,,,,,
198,2001,9,22,17,41,52.6,5.56,0.18,10,,,0.3,2.7,GSD,,,,,,,,
199,2002,1,24,12,33,7.9,5.75,0.85,8,,,0.3,3,GSD,,,,,,,,
200,2002,2,21,15,51,6.1,5.6,0.13,13,,,0.3,3.1,GSD,,,,,,,,
201,2002,2,22,7,33,57.3,5.4,-0.5,8,,,0.3,3.2,GSD,,,,,,,,
202,2002,5,17,3,54,9.1,5.6,0.1,7,,,0.3,2.6,GSD,,,,,,,,
203,2002,6,7,11,25,9.1,5.65,-0.27,13,,,0.3,2.7,GSD,,,,,,,,
204,2002,6,7,8,22,9.3,5.5,-0.3,21,,,0.3,3.4,GSD,,,,,,,,
205,2002,6,7,1,35,5.3,5.5,-0.3,7,,,0.3,3,GSD,,,,,,,,
206,2002,11,27,18,54,27.1,5.55,0.5,8,,,0.3,2.5,GSD,,,,,,,,
207,2002,11,29,10,25,40.5,5.25,-0.6,4,,,0.3,2.5,GSD,,,,,,,,
208,2003,2,23,14,12,49.7,5.59,-2.01,2,,,0.3,2,ISC,,,,,,,,
209,2003,5,18,7,29,47.2,5.57,-0.32,19,,,0.3,3.3,GSD,,,,,,,,
210,2003,5,18,22,16,42.6,5.58,-0.32,17,,,0.3,2.6,GSD,,,,,,,,
211,2003,5,18,23,55,28.2,5.57,-0.38,8,,,0.3,3,GSD,,,,,,,,
212,2003,6,22,6,8,42.3,6.69,-1.88,2,,,0.3,2,ISC,,,,,,,,
213,2004,4,17,13,21,57.2,5.31,-2.62,2,,,0.3,2,ISC,,,,,,,,
214,2008,2,20,8,21,30.2,7.11,-1.86,2,,,0.3,2,ISC,,,,,,,,
215,2008,6,9,21,48,18.2,4.63,-3.94,50,,,0.3,2,ISC,,,,,,,,
216,2008,6,26,4,51,47.2,6.16,-4.74,20,,,0.3,2,ISC,,,,,,,,
217,2008,8,16,11,31,14.1,9.19,-1.52,30,,,0.3,2,ISC,,,,,,,,
218,2008,9,10,16,33,14.0,4.57,3.92,2,,,0.3,2,ISC,,,,,,,,
219,2009,9,11,3,10,27.7,6.68,2.42,2,,,0.3,4.3,ISC,,,,,,,,
220,2009,10,23,10,31,37.0,9.38,-2.35,30,,,0.3,2,ISC,,,,,,,,
221,2009,12,12,18,8,36.7,7.02,-1.87,2,,,0.3,2.0,ISC,,,,,,,,
222,2012,10,9,12,5,46.10,5.5760,-0.289,12.90,,,0.3,2.9,Deep_learning,,,,,,,,
223,2012,10,13,3,8, 1.20,5.4150,-1.995,15.60,,,0.3,3.8,Deep_learning,,,,,,,,
224,2012,10,19,8,38,27.00,5.4930,-0.316,14.30,,,0.3,3.5,Deep_learning,,,,,,,,
225,2012,10,29,17,51,39.50,5.6000,-0.486,22.10,,,0.3,3.1,Deep_learning,,,,,,,,
226,2012,11,18,13,25,59.90,5.8920,0.039, 4.00,,,0.3,2.9,Deep_learning,,,,,,,,
227,2012,11,24,3,0,46.40,5.4360,-0.369,14.10,,,0.3,3,Deep_learning,,,,,,,,
228,2012,11,30,8,4,46.40,5.5090,-0.397, 7.50,,,0.3,3,Deep_learning,,,,,,,,
229,2012,11,30,10,37,36.70,5.6050,-0.312, 6.40,,,0.3,2.5,Deep_learning,,,,,,,,
230,2012,12,6,15,32,51.20,5.7960,-0.296,15.00,,,0.3,2.8,Deep_learning,,,,,,,,
231,2012,12,12,17,45,13.80,5.5150,-0.544, 8.40,,,0.3,3.3,Deep_learning,,,,,,,,
232,2012,12,25,13,51,17.90,5.6150,-0.29,10.70,,,0.3,3.1,Deep_learning,,,,,,,,
233,2013,1,6,13,7, 4.90,5.5090,-0.327,13.90,,,0.3,3.2,Deep_learning,,,,,,,,
